Name,Movies,Number of Movies,Url
Tim Robbins,['Les Évadés'],1,https://imdb.com/name/nm0000209?ref_=tt_cl_t_1
Morgan Freeman,"['Les Évadés', 'The Dark Knight : Le Chevalier noir', 'Seven', 'The Dark Knight Rises', 'Impitoyable', 'Million Dollar Baby']",6,https://imdb.com/name/nm0000151?ref_=tt_cl_t_2
Bob Gunton,['Les Évadés'],1,https://imdb.com/name/nm0348409?ref_=tt_cl_t_3
William Sadler,['Les Évadés'],1,https://imdb.com/name/nm0006669?ref_=tt_cl_t_4
Clancy Brown,['Les Évadés'],1,https://imdb.com/name/nm0000317?ref_=tt_cl_t_5
Gil Bellows,['Les Évadés'],1,https://imdb.com/name/nm0004743?ref_=tt_cl_t_6
Mark Rolston,"['Les Évadés', 'Aliens : Le Retour']",2,https://imdb.com/name/nm0001679?ref_=tt_cl_t_7
James Whitmore,['Les Évadés'],1,https://imdb.com/name/nm0926235?ref_=tt_cl_t_8
Jeffrey DeMunn,['Les Évadés'],1,https://imdb.com/name/nm0218810?ref_=tt_cl_t_9
Larry Brandenburg,['Les Évadés'],1,https://imdb.com/name/nm0104594?ref_=tt_cl_t_10
Marlon Brando,"['Le Parrain', 'Apocalypse Now', 'Sur les quais...']",3,https://imdb.com/name/nm0000008?ref_=tt_cl_t_1
Al Pacino,"['Le Parrain', 'Le Parrain, 2ᵉ partie', 'Scarface', 'Heat']",4,https://imdb.com/name/nm0000199?ref_=tt_cl_t_2
James Caan,['Le Parrain'],1,https://imdb.com/name/nm0001001?ref_=tt_cl_t_3
Diane Keaton,"['Le Parrain', 'Le Parrain, 2ᵉ partie']",2,https://imdb.com/name/nm0000473?ref_=tt_cl_t_4
Richard S. Castellano,['Le Parrain'],1,https://imdb.com/name/nm0144710?ref_=tt_cl_t_5
Robert Duvall,"['Le Parrain', 'Le Parrain, 2ᵉ partie', 'Apocalypse Now', 'Network - Main basse sur la TV']",4,https://imdb.com/name/nm0000380?ref_=tt_cl_t_6
Sterling Hayden,"['Le Parrain', ""Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !""]",2,https://imdb.com/name/nm0001330?ref_=tt_cl_t_7
John Marley,['Le Parrain'],1,https://imdb.com/name/nm0549134?ref_=tt_cl_t_8
Richard Conte,['Le Parrain'],1,https://imdb.com/name/nm0002017?ref_=tt_cl_t_9
Al Lettieri,['Le Parrain'],1,https://imdb.com/name/nm0504803?ref_=tt_cl_t_10
Christian Bale,"['The Dark Knight : Le Chevalier noir', 'Le Prestige', 'The Dark Knight Rises', 'Batman Begins', ""Le Mans '66""]",5,https://imdb.com/name/nm0000288?ref_=tt_cl_t_1
Heath Ledger,['The Dark Knight : Le Chevalier noir'],1,https://imdb.com/name/nm0005132?ref_=tt_cl_t_2
Aaron Eckhart,['The Dark Knight : Le Chevalier noir'],1,https://imdb.com/name/nm0001173?ref_=tt_cl_t_3
Michael Caine,"['The Dark Knight : Le Chevalier noir', 'Le Prestige', 'The Dark Knight Rises', 'Batman Begins']",4,https://imdb.com/name/nm0000323?ref_=tt_cl_t_4
